Description,Co-ordinates
Drinking fountain - unspecified type - North Melbourne Recreation Reserve,"(-37.79931696097314, 144.94052897935669)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.82050899334054, 144.94485852337164)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.815447719564624, 144.96705501075527)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81261776692698, 144.9683505786709)"
Drinking Fountain - Treated Timber Drinking Fountain - Bellair Street Reserve,"(-37.79552519675763, 144.9307673769604)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82087279535316, 144.94185586107258)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.802013714097406, 144.95783228776227)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80774274876369, 144.96308654177773)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.818037935423334, 144.9566252834487)"
Drinking Fountain - Treated Timber Drinking Fountain - Neill & Canning Street Reserve (CARLTON),"(-37.79332999851195, 144.97374160438724)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,"(-37.82760195838954, 144.9819469602272)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81536210793982, 144.97970486535712)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,"(-37.80262121799853, 144.96563804631617)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82838783514251, 144.98444352386497)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.805018324001324, 144.94911036775298)"
Drinking Fountain - Ornamental Drinking Fountain - Errol St North Melbourne,"(-37.80333644461803, 144.94973046402842)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80725891583743, 144.94696422855037)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.81010993947886, 144.95363625566395)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81949228639884, 144.94459499380662)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.816008130348806, 144.94552203541383)"
Drinking fountain - Historic or Heritage Drinking Fountains - Liddy Street Reserve (KENSINGTON),"(-37.79009686226306, 144.9257559567742)"
